name,street_address,price,cuisine,rating,latitude,longitude
1-V:U,"The Outpost Hotel Sentosa, 10 Artillery Avenue, Level 7",$31 - $50,Asian Variety,,1.252299,103.820211
10 At Claymore,"Pan Pacific Orchard, 10 Claymore Road Level 2",$51 - $80,Multi-Cuisine,4,1.307401,103.829904
10 SCOTTS,"Grand Hyatt Singapore, 10 Scotts Road Lobby Level",$31 - $50,,3.5,1.306345,103.833283
100g Korean BBQ,93 Amoy Street,$21 - $30,Korean,3.5,1.281299,103.847092
10th Chocolate Street,"GSM Buidling, 141 Middle Road",$11 - $20,Belgian,,1.299438,103.852403
123 Seafood,"Chinatown Complex Market and Food Centre, 335 Smith St #02-203/204",Under $10,"Singaporean, Chinese",,1.28236,103.843546
126 Wen Dou Sek,126 Sims Avenue,$11 - $20,Cantonese/Hong Kong,4,1.314219,103.878429
126 Wen Dou Sek,1086 Serangoon Road,Under $10,Cantonese/Hong Kong,,1.323609,103.86496
128 Fish Porridge,"Jurong West 505 Market &amp; Food Centre, Blk 505 Jurong West St 52 #01-40",Under $10,,,1.349645,103.718447
128 Lor Mee,"Whampoa Makan Place, 90 Whampoa Drive #01-28",Under $10,,,1.32307,103.85499
132 Traditional Teochew Noodle,"CCMW Coffeeshop, Blk 59 Marine Terrace, #01-105",Under $10,Chinese,3,1.305812,103.914768
135 Fishball Noodle,"Toa Payoh West Market &amp; Food Court, Blk127 Lorong 1 Toa Payoh #02-11",Under $10,,3.5,1.340267,103.854416
136 Hong Kong Street Fish Head Steamboat,291 South Bridge Road,$11 - $20,"Teochew, Chinese",3.5,1.281415,103.845043
136 Hong Kong Street Fish Head Steamboat,Blk 19 Lorong 7 Toa Payoh #01-264,$11 - $20,Cantonese/Hong Kong,,1.33533,103.856453
138,"Redhill Food Centre, Blk 85 Redhill Lane #01-54",Under $10,,4,1.287312,103.818335
138 Kway Chap Porridge,"Bukit Timah Market &amp; Food Centre, 116 Upper Bukit Timah Road #02-138",Under $10,Singaporean,,1.339401,103.776083
178 Lor Mee,"Tiong Bahru Market, 30 Seng Poh Road #02-23",Under $10,,4,1.284759,103.832679
18 Economical Delights,"Maxwell Food Centre, 1 Kadayanallur St #01-18",Under $10,"Singaporean, Chinese",,1.280489,103.844672
1933 Singapore,"Capitol Piazza, 15 Stamford Road #L1-83",$11 - $20,,3.5,1.293012,103.851211
1953 Yr Big Prawn Noodle - Kopitiam,"Jurong Point, 1 Jurong West Central 2 #03-42 (JP1)",Under $10,,3,1.322669,103.720709
1983 A Taste Of Nanyang,"Jem, 50 Jurong Gateway Road #05-04 (Cookhouse)",Under $10,Malay,,1.333169,103.743536
1st Grade Otah,"Downtown East, 1 Pasir Ris Close #01-22",Under $10,Singaporean,3,1.377757,103.955297
2 Loaves,Blk 46-3 Commonwealth Drive #01-388,Under $10,,,1.299966,103.79772
$2 Nasi Lemak,"Jurong West 505 Market &amp; Food Centre, Blk 505 Jurong West Street 52 #01-21",Under $10,,,1.349645,103.718447
201C Fish Ball Noodles,Blk 201C Tampines St 21,Under $10,"Singaporean, Chinese",,1.352813,103.953001
20F Specialty Coffeehouse,20 Foch Road,$11 - $20,,3.5,1.312112,103.859978
21 on Rajah,"Days Hotel, 1 Jalan Rajah Road",$31 - $50,"Middle Eastern/Mediterranean, Singaporean",3.5,1.326978,103.847366
2D1N Soju Bang Korean Restaurant,44/46 Tanjong Pagar Road,$31 - $50,Korean,4,1.279349,103.843652
2nd Mini Steamboat Delight,"Novena Gardens, 273 Thomson Road, #01-04",$11 - $20,Singaporean,4,1.320479,103.841994
2The Pot,333 Joo Chiat Road,$11 - $20,"Thai, Chinese",,1.309063,103.90282
328 Katong Laksa,"Queensway Shopping Centre, 1 Queensway #01-60",Under $10,Peranakan / Nonya,3.5,1.287477,103.8034
328 Katong Laksa,51 East Coast Road,Under $10,Singaporean Chinese,3.5,1.305096,103.903211
328 Katong Laksa,216 East Coast Road,Under $10,Chinese,3.5,1.307317,103.907347
363 Holland Village Nasi Lemak,"Holland Village Market &amp; Food Centre, 1 Lorong Mambong #01-15",Under $10,Malay,3.5,1.311803,103.796177
4 Fingers Crispy Chicken,"Plaza Singapura, 68 Orchard Road #B1-07",Under $10,Korean,3.5,1.300005,103.844626
4 Fingers Crispy Chicken,"ION Orchard, 2 Orchard Turn #B4-06A",Under $10,Korean,3.5,1.304082,103.832016
5 Drunken Rabbits Bistro &amp; Bar,201 Pasir Ris Road,$21 - $30,American,3,1.382091,103.947924
5 Little Bears,"Far East Plaza, 14 Scotts Road #01-07",Under $10,"Taiwanese, Chinese",3,1.307079,103.833146
5 Little Bears,"Paya Lebar Square, 60 Paya Lebar Road #B1-09",Under $10,Taiwanese,,1.318786,103.892577
5 Senses,"799 New Upper Changi Road, #02-30/31",$11 - $20,French,,1.324952,103.932317
545 Whampoa Prawn Noodle,"Whampoa Makan Place, 91 Whampoa Drive #01-39",Under $10,,3.5,1.32307,103.85499
69 Cold Soya Beancurd,"115 Bukit Merah View Market &amp; Food Centre, Blk 115 Bukit Merah View #01-76",Under $10,"Singaporean, Chinese",,1.285187,103.822077
(7&quot;)&#178; Pizza,"Lau Pa Sat Festival Market, 18 Raffles Quay",Under $10,Italian,,1.280259,103.850614
7 Gang Kway Chap,"Kim Keat Palm Market &amp; Food Centre, Blk 22 Lorong 7 Toa Payoh #01-32",Under $10,,3.5,1.335532,103.85695
7 Wonders Seafood,369 Jalan Besar,$11 - $20,Singaporean Chinese,,1.312819,103.859594
71 Lor Mee,"Bukit Merah View Hawker Centre, Blk 115 Bukit Merah View #01-71",Under $10,,,1.285187,103.822077
761 Yishun Seafood,"Blk 761, Yishun St 72",Under $10,Singaporean,3,1.425474,103.833219
78 Economic Mixed Rice - KTP Coffee Shop,"KTP Coffee Shop, 401 Hougang Avenue 10",Under $10,Singaporean,,1.37484,103.896991
8 Korean BBQ,"The Central, 6 Eu Tong Sen St #02-79/90",$31 - $50,Korean,4,1.28878,103.846236
8 Korean BBQ,"1 Scotts Road, #04-20/21 Shaw Centre",$31 - $50,Korean,,1.305918,103.832015
848 Sugar Cane &amp; Fruit Juice,"Maxwell Food Centre, 1 Kadayanallur St #01-84",Under $10,,,1.280489,103.844672
85 Bedok North Fried Oyster,"Bedok 85 Market, Blk 85 Bedok North St 4 #01-09/10",Under $10,"Singaporean, Chinese",3.5,1.332,103.938762
88 Chicken Rice,Blk 726 Clementi West,Under $10,"Singaporean, Chinese",,1.30413,103.764564
