name,street_address,price,cuisine,rating
1-V:U,"The Outpost Hotel Sentosa, 10 Artillery Avenue, Level 7",$31 - $50,Asian Variety,
10 At Claymore,"Pan Pacific Orchard, 10 Claymore Road Level 2",$51 - $80,Multi-Cuisine,4
10 SCOTTS,"Grand Hyatt Singapore, 10 Scotts Road Lobby Level",$31 - $50,,3.5
100g Korean BBQ,93 Amoy Street,$21 - $30,Korean,3.5
10th Chocolate Street,"GSM Buidling, 141 Middle Road",$11 - $20,Belgian,
123 Seafood,"Chinatown Complex Market and Food Centre, 335 Smith St #02-203/204",Under $10,"Singaporean, Chinese",
126 Wen Dou Sek,126 Sims Avenue,$11 - $20,Cantonese/Hong Kong,4
126 Wen Dou Sek,1086 Serangoon Road,Under $10,Cantonese/Hong Kong,
128 Fish Porridge,"Jurong West 505 Market &amp; Food Centre, Blk 505 Jurong West St 52 #01-40",Under $10,,
128 Lor Mee,"Whampoa Makan Place, 90 Whampoa Drive #01-28",Under $10,,
132 Traditional Teochew Noodle,"CCMW Coffeeshop, Blk 59 Marine Terrace, #01-105",Under $10,Chinese,3
135 Fishball Noodle,"Toa Payoh West Market &amp; Food Court, Blk127 Lorong 1 Toa Payoh #02-11",Under $10,,3.5
136 Hong Kong Street Fish Head Steamboat,291 South Bridge Road,$11 - $20,"Teochew, Chinese",3.5
136 Hong Kong Street Fish Head Steamboat,Blk 19 Lorong 7 Toa Payoh #01-264,$11 - $20,Cantonese/Hong Kong,
138,"Redhill Food Centre, Blk 85 Redhill Lane #01-54",Under $10,,4
138 Kway Chap Porridge,"Bukit Timah Market &amp; Food Centre, 116 Upper Bukit Timah Road #02-138",Under $10,Singaporean,
178 Lor Mee,"Tiong Bahru Market, 30 Seng Poh Road #02-23",Under $10,,4
18 Economical Delights,"Maxwell Food Centre, 1 Kadayanallur St #01-18",Under $10,"Singaporean, Chinese",
1933 Singapore,"Capitol Piazza, 15 Stamford Road #L1-83",$11 - $20,,3.5
1953 Yr Big Prawn Noodle - Kopitiam,"Jurong Point, 1 Jurong West Central 2 #03-42 (JP1)",Under $10,,3
1983 A Taste Of Nanyang,"Jem, 50 Jurong Gateway Road #05-04 (Cookhouse)",Under $10,Malay,
1st Grade Otah,"Downtown East, 1 Pasir Ris Close #01-22",Under $10,Singaporean,3
2 Loaves,Blk 46-3 Commonwealth Drive #01-388,Under $10,,
$2 Nasi Lemak,"Jurong West 505 Market &amp; Food Centre, Blk 505 Jurong West Street 52 #01-21",Under $10,,
201C Fish Ball Noodles,Blk 201C Tampines St 21,Under $10,"Singaporean, Chinese",
20F Specialty Coffeehouse,20 Foch Road,$11 - $20,,3.5
21 on Rajah,"Days Hotel, 1 Jalan Rajah Road",$31 - $50,"Middle Eastern/Mediterranean, Singaporean",3.5
